epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.48,2.77851,6.09844,2.39264,0.39004,0.41019,0.27313,0.14673,1.6971,6.65098,1.5931,0.09208,8e-05,8e-05
2,22.0549,1.8347,2.01701,1.70613,0.36746,0.07266,0.084,0.03177,2.2719,3.61129,1.90033,0.0831686,0.000168597,0.000168597
3,27.9513,1.65451,1.4915,1.50238,0.56204,0.44524,0.53135,0.2499,1.84784,1.77292,1.67399,0.0742557,0.00025571,0.00025571
4,39.6898,1.61179,1.36726,1.54,0.74041,0.57693,0.59864,0.2815,1.89654,2.51683,1.77499,0.0653413,0.000341337,0.000341337
5,46.9118,1.44917,1.19117,1.4549,0.51105,0.75224,0.61415,0.252,2.08731,3.55081,1.93473,0.0564255,0.00042548,0.00042548
6,52.793,1.57522,1.23765,1.51671,0.46773,0.63958,0.47956,0.18785,2.00708,19.6081,1.93979,0.0475081,0.000508137,0.000508137
7,59.583,1.43474,1.12664,1.44209,0.64077,0.77053,0.71332,0.31077,1.93078,2.75155,1.82996,0.0385893,0.00058931,0.00058931
8,70.8978,1.49384,1.11796,1.44404,0.5549,0.82825,0.72849,0.35583,1.67337,1.37145,1.59824,0.029669,0.000668998,0.000668998
9,83.0714,1.51264,1.11116,1.46957,0.7701,0.77291,0.81395,0.38348,1.74944,1.78189,1.67406,0.0207472,0.0007472,0.0007472
10,95.3723,1.45588,1.09845,1.47633,0.69164,0.70075,0.72194,0.3153,1.97859,1.5534,1.94451,0.0118239,0.000823918,0.000823918
11,101.955,1.45255,1.08807,1.44346,0.66893,0.71763,0.81355,0.31835,1.91417,2.07667,1.94636,0.00289915,0.00089915,0.00089915
12,108.198,1.41093,1.04654,1.43111,0.66163,0.66512,0.8005,0.29086,2.00185,2.14231,2.09953,0.00090925,0.00090925,0.00090925
13,114.276,1.43412,1.05874,1.41796,0.74983,0.75861,0.8605,0.40645,1.73341,1.6713,1.74671,0.000901,0.000901,0.000901
14,125.885,1.44561,1.02261,1.46509,0.72325,0.5403,0.63438,0.24431,2.09545,1.37357,2.10764,0.00089275,0.00089275,0.00089275
15,132.502,1.46234,1.02218,1.4499,0.62396,0.63218,0.68602,0.33627,1.72347,1.24808,1.69929,0.0008845,0.0008845,0.0008845
16,139.019,1.34881,1.05307,1.37463,0.77683,0.61057,0.71415,0.31343,1.94012,1.59012,1.78013,0.00087625,0.00087625,0.00087625
17,145.458,1.36483,0.9649,1.36163,0.80374,0.497,0.67253,0.31494,1.71816,1.35597,1.67856,0.000868,0.000868,0.000868
18,151.651,1.3596,0.95138,1.39583,0.60971,0.59067,0.61368,0.28259,1.85998,1.66872,1.78215,0.00085975,0.00085975,0.00085975
19,158.102,1.33626,0.94374,1.3786,0.68762,0.57614,0.5825,0.2611,1.87389,1.96367,1.76616,0.0008515,0.0008515,0.0008515
20,164.597,1.29067,0.88495,1.33305,0.81649,0.578,0.65111,0.32124,1.86812,2.04849,1.74835,0.00084325,0.00084325,0.00084325
21,171.13,1.32008,0.90454,1.35564,0.85085,0.79243,0.81562,0.39919,1.82735,1.41866,1.74814,0.000835,0.000835,0.000835
22,177.355,1.38528,0.92944,1.42903,0.89362,0.77719,0.88773,0.45322,1.69318,1.08649,1.64515,0.00082675,0.00082675,0.00082675
