epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95662,0.8225,0.50651,1.06625,0.93464,0.91908,0.96465,0.51108,1.70187,0.68257,1.85973,8.888e-05,8.888e-05,8.888e-05
2,20.3839,0.71012,0.41055,1.00642,0.90624,0.96628,0.96651,0.49151,1.78858,0.71771,1.99769,0.000184195,0.000184195,0.000184195
3,28.7917,0.7328,0.4007,1.02656,0.9111,0.93741,0.95904,0.47985,1.85256,0.75163,2.1424,0.000274561,0.000274561,0.000274561
4,35.0978,0.74952,0.42802,1.03757,0.93639,0.9264,0.95611,0.46493,1.84636,0.74991,2.17104,0.000359978,0.000359978,0.000359978
5,41.6229,0.71076,0.40828,1.00327,0.87896,0.87076,0.91515,0.4446,1.86811,0.84946,2.14849,0.000440445,0.000440445,0.000440445
6,48.0242,0.74815,0.4335,1.02696,0.89153,0.86814,0.92494,0.50437,1.80003,0.80235,2.01268,0.000515962,0.000515962,0.000515962
7,58.6692,0.76395,0.43482,1.03826,0.94945,0.92342,0.96668,0.49799,1.83394,0.81593,2.04936,0.00058653,0.00058653,0.00058653
8,70.8996,0.75979,0.44438,1.04674,0.91258,0.89646,0.94891,0.47574,1.90466,0.89687,2.11357,0.000652149,0.000652149,0.000652149
9,103.044,0.73519,0.44845,1.0186,0.83663,0.80024,0.86379,0.41992,1.98131,1.01587,2.1825,0.000712818,0.000712818,0.000712818
10,114.018,0.74298,0.4455,1.02778,0.8763,0.85336,0.89338,0.45784,1.80396,0.91952,2.03039,0.000768537,0.000768537,0.000768537
11,126.316,0.73001,0.44137,1.03415,0.9312,0.88039,0.93005,0.47579,1.83076,0.95337,2.10621,0.000819307,0.000819307,0.000819307
12,132.882,0.71266,0.46587,1.01624,0.89802,0.90341,0.91436,0.433,1.92514,0.89209,2.19448,0.00080853,0.00080853,0.00080853
13,144.84,0.72897,0.43745,1.0226,0.96581,0.8846,0.94651,0.42347,1.98429,0.87603,2.32034,0.000781033,0.000781033,0.000781033
14,157.044,0.74677,0.43462,1.03084,0.91933,0.87021,0.91005,0.42919,1.94146,0.88083,2.22265,0.000753536,0.000753536,0.000753536
15,169.277,0.70708,0.42846,1.00667,0.88951,0.88279,0.91302,0.43024,1.95043,0.86888,2.23274,0.000726038,0.000726038,0.000726038
16,181.81,0.69796,0.42075,0.97051,0.93744,0.93409,0.96007,0.47437,1.83236,0.83934,2.05757,0.000698541,0.000698541,0.000698541
17,193.861,0.68317,0.40446,0.9803,0.96431,0.89519,0.95931,0.45848,1.83913,0.80789,2.07963,0.000671044,0.000671044,0.000671044
18,206.335,0.67935,0.4007,0.96143,0.89246,0.89091,0.92098,0.44681,1.85979,0.82766,2.13627,0.000643547,0.000643547,0.000643547
19,218.483,0.67184,0.40347,0.97143,0.87872,0.92975,0.90718,0.44696,1.95179,0.84284,2.25094,0.000616049,0.000616049,0.000616049
20,230.822,0.66508,0.382,0.96656,0.85799,0.8405,0.87179,0.42962,1.87149,0.86681,2.20602,0.000588552,0.000588552,0.000588552
21,243.114,0.63465,0.38649,0.94869,0.84723,0.83851,0.85907,0.43505,1.86111,0.8623,2.22241,0.000561055,0.000561055,0.000561055
22,253.229,0.60823,0.37367,0.9531,0.86419,0.8678,0.85005,0.43238,1.90273,0.86514,2.35622,0.000533558,0.000533558,0.000533558
23,265.504,0.59622,0.3674,0.93488,0.92242,0.90942,0.918,0.46077,1.85533,0.8524,2.28267,0.00050606,0.00050606,0.00050606
24,277.941,0.57592,0.36771,0.93542,0.91008,0.90642,0.92952,0.46234,1.89292,0.82301,2.32599,0.000478563,0.000478563,0.000478563
25,290.18,0.58395,0.34751,0.92882,0.87389,0.89538,0.93226,0.47826,1.85187,0.79587,2.26071,0.000451066,0.000451066,0.000451066
26,302.467,0.55537,0.34208,0.91572,0.87789,0.90689,0.93074,0.45841,1.91931,0.7978,2.37026,0.000423569,0.000423569,0.000423569
27,312.69,0.52135,0.32698,0.90861,0.87539,0.91014,0.93804,0.46184,1.93146,0.81147,2.3757,0.000396071,0.000396071,0.000396071
28,324.988,0.52055,0.31772,0.89429,0.89835,0.87899,0.93565,0.46055,1.92301,0.78944,2.37591,0.000368574,0.000368574,0.000368574
29,337.22,0.52987,0.32344,0.91253,0.92629,0.88319,0.9437,0.467,1.86832,0.74877,2.2969,0.000341077,0.000341077,0.000341077
30,349.63,0.51147,0.3231,0.87251,0.92606,0.89343,0.94985,0.46246,1.92712,0.76261,2.37035,0.00031358,0.00031358,0.00031358
31,364.835,0.4709,0.29825,0.86747,0.89299,0.85417,0.92157,0.46027,1.8964,0.76674,2.3626,0.000286083,0.000286083,0.000286083
32,372.669,0.4391,0.28711,0.85897,0.87055,0.85792,0.89321,0.46305,1.91428,0.82969,2.42855,0.000258585,0.000258585,0.000258585
33,380.094,0.46429,0.29205,0.87224,0.8579,0.89769,0.90854,0.46008,1.92663,0.85157,2.45412,0.000231088,0.000231088,0.000231088
34,392.926,0.4677,0.29864,0.87061,0.84354,0.82983,0.87049,0.461,1.87835,0.8278,2.37981,0.000203591,0.000203591,0.000203591
35,404.528,0.4365,0.2803,0.85163,0.87709,0.85636,0.8926,0.47228,1.88357,0.80604,2.39529,0.000176094,0.000176094,0.000176094
36,417.34,0.41792,0.2729,0.85092,0.87789,0.84937,0.88663,0.46056,1.89603,0.80096,2.43754,0.000148596,0.000148596,0.000148596
37,424.057,0.40841,0.26356,0.84421,0.85791,0.82656,0.87297,0.45754,1.88305,0.79181,2.42518,0.000121099,0.000121099,0.000121099
38,430.706,0.41554,0.2697,0.84534,0.90656,0.8785,0.93625,0.46398,1.88493,0.79561,2.4358,9.36017e-05,9.36017e-05,9.36017e-05
39,442.05,0.40281,0.26298,0.84914,0.87779,0.85182,0.91045,0.46603,1.8802,0.79591,2.43656,6.61045e-05,6.61045e-05,6.61045e-05
40,454.273,0.4038,0.25748,0.8421,0.87792,0.85209,0.89692,0.46449,1.88575,0.79528,2.45094,3.86073e-05,3.86073e-05,3.86073e-05
